pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,Fixation.started,line_1.started,line_2.started,line_3.started,line_4.started,Fixation.stopped,Probe.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.026444400000400492,,0.016303599999446305,0.026444400000400492,1.009598399999959,1.009598399999959,1.009598399999959,1.009598399999959,1.026480200000151,2.009617399999115,2.009617399999115,2.6636739000005036,x,1,0.642453899999964,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,0,1,1,1,,,,,2.676201599999331,,2.6645165999998426,2.676201599999331,3.6760245999994368,3.6760245999994368,3.6760245999994368,3.6760245999994368,3.6760245999994368,4.675786800000424,4.675786800000424,5.078453500000251,v,1,0.3957368999999744,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,0,2,2,2,,,,,5.092644399999699,,5.079082500000368,5.092644399999699,6.092587400000411,6.092587400000411,6.092587400000411,6.092587400000411,6.092587400000411,7.092216699998971,7.092216699998971,7.645538700000543,c,1,0.5491228000009869,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,0,3,3,3,,,,,7.658994600000369,,7.646150599999601,7.658994600000369,8.658652899999652,8.658652899999652,8.658652899999652,8.658652899999652,8.658652899999652,9.658545399999639,9.658545399999639,9.961202599999524,z,1,0.29763549999915995,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,1,0,4,0,,,,,9.975239199999123,,9.96180269999968,9.975239199999123,10.975046699999439,10.975046699999439,10.975046699999439,10.975046699999439,10.975046699999439,11.975064500000371,11.975064500000371,12.377415499999188,x,1,0.3967658000001393,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,1,1,5,1,,,,,12.391507500000444,,12.378042799999093,12.391507500000444,13.391806100000395,13.391806100000395,13.391806100000395,13.391806100000395,13.391806100000395,14.391524999999092,14.391524999999092,14.794432499998948,v,1,0.4007580000015878,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
50,c,1,2,6,2,,,,,14.808165200000076,,14.795045299999401,14.808165200000076,15.80800629999976,15.80800629999976,15.80800629999976,15.80800629999976,15.80800629999976,16.807713500000318,16.807713500000318,17.343682999999146,c,1,0.5338552000011987,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-150,z,1,3,7,3,,,,,17.357675899998867,,17.34428040000057,17.357675899998867,18.357508699999016,18.357508699999016,18.357508699999016,18.357508699999016,18.357508699999016,19.357275899999877,19.357275899999877,19.693096799999694,z,1,0.31971489999887126,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
-50,x,2,0,8,0,,,,,19.707267499999944,,19.693724799999472,19.707267499999944,20.707146299999295,20.707146299999295,20.707146299999295,20.707146299999295,20.707146299999295,21.707076000000598,21.707076000000598,22.04285659999914,z,0,0.32498020000093675,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
150,v,2,1,9,1,,,,,22.056982799998877,,22.04353599999922,22.056982799998877,23.05700649999926,23.05700649999926,23.05700649999926,23.05700649999926,23.05700649999926,24.05661990000044,24.05661990000044,24.50954400000046,v,1,0.44142200000169396,None,X,001,2024-10-17_14h46.58.334,Motor Sequence Task,2024.1.5,None,2024-10-17 14h47.07.095221 +0530,
